event_id,event_start_date,event_end_date,risk_id,business_line,business_line_id,causal_factor,causal_factor_id,province_occurred,city_occurred,location_id,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,num_banks_involved,primary_bank_code,event_duration_months,description,event_date,gross_loss,recovery_amount,net_loss,business_unit,mitigation_status,mitigation_due_date,expected_loss,probability_score
1,1999-08-01,2000-11-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Shaanxi,Xi'an,LOC-0001,102000000.0,0.0,102000000.0,18.440483381052466,Critical,1,4,5,15.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an.",1999-08-01,102000000.0,0.0,102000000.0,Commercial banking,Unknown,,102000000.0,
2,1998-12-01,2000-11-01,RISK-0002,No business line,BL-005,People,CF-002,Guangdong,Dongguan,LOC-0002,4200000.0,0.0,4200000.0,15.250595321348806,High,0,1,4,23.0,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Dongguan.",1998-12-01,4200000.0,0.0,4200000.0,No business line,Unknown,,4200000.0,
3,1997-07-01,2000-04-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Guangdong,Shenzhen,LOC-0003,3320000.0,0.0,3320000.0,15.015475642097446,High,0,1,4,33.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Shenzhen.",1997-07-01,3320000.0,0.0,3320000.0,Payment and settlement,Unknown,,3320000.0,
4,2000-02-01,,RISK-0003,Payment and settlement,BL-006,People,CF-002,Tianjin,,LOC-0004,21020000.0,0.0,21020000.0,16.860984970986816,Critical,1,1,4,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Tianjin, Unknown city.",2000-02-01,21020000.0,0.0,21020000.0,Payment and settlement,Unknown,,21020000.0,
5,1995-02-01,2000-09-01,RISK-0002,No business line,BL-005,People,CF-002,Beijing,Beijing,LOC-0005,15800000.0,0.0,15800000.0,16.575520561288332,Critical,1,1,4,67.0,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing.",1995-02-01,15800000.0,0.0,15800000.0,No business line,Unknown,,15800000.0,
6,1995-05-01,,RISK-0001,Commercial banking,BL-003,People,CF-002,Chongqing,Chongqing,LOC-0006,48430000.0,0.0,48430000.0,17.69563003502777,Critical,1,1,4,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Chongqing, Chongqing.",1995-05-01,48430000.0,0.0,48430000.0,Commercial banking,Unknown,,48430000.0,
7,2000-03-01,2000-05-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Tianjin,Tianjin,LOC-0007,56000000.0,0.0,56000000.0,17.840862266556567,Critical,1,1,4,2.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin.",2000-03-01,56000000.0,0.0,56000000.0,Commercial banking,Unknown,,56000000.0,
8,1998-02-01,2001-02-01,RISK-0002,No business line,BL-005,People,CF-002,Ningxia,Wuzhong,LOC-0008,3710000.0,0.0,3710000.0,15.126542704125361,High,0,1,4,36.0,"Operational risk event: Internal fraud caused by People in No business line located in Ningxia, Wuzhong.",1998-02-01,3710000.0,0.0,3710000.0,No business line,Unknown,,3710000.0,
9,,,RISK-0002,No business line,BL-005,People,CF-002,Guangdong,,LOC-0009,140000000.0,0.0,140000000.0,18.757152987716434,Critical,1,1,4,,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Unknown city.",,140000000.0,0.0,140000000.0,No business line,Unknown,,140000000.0,
10,2000-09-01,2000-09-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Heilongjiang,Daqing,LOC-0010,49000000.0,0.0,49000000.0,17.707330876483063,Critical,1,1,4,0.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Daqing.",2000-09-01,49000000.0,0.0,49000000.0,Payment and settlement,Unknown,,49000000.0,
11,2000-11-01,2000-11-01,RISK-0004,Retail banking,BL-007,People,CF-002,Beijing,Beijing,LOC-0005,17000.0,0.0,17000.0,9.741027444837728,Low,0,1,7,0.0,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Beijing, Beijing.",2000-11-01,17000.0,0.0,17000.0,Retail banking,Unknown,,17000.0,
12,2000-03-01,2000-03-01,RISK-0005,Retail banking,BL-007,People,CF-002,Yunnan,Chuxiong,LOC-0011,666500.0,0.0,666500.0,13.409796918974868,Medium,0,1,7,0.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Chuxiong.",2000-03-01,666500.0,0.0,666500.0,Retail banking,Unknown,,666500.0,
13,,,RISK-0005,Retail banking,BL-007,People,CF-002,Henan,Kaifeng,LOC-0012,1960572.0,0.0,1960572.0,14.488747335420436,High,0,1,7,,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Kaifeng.",,1960572.0,0.0,1960572.0,Retail banking,Unknown,,1960572.0,
14,,,RISK-0001,Commercial banking,BL-003,People,CF-002,Beijing,Beijing,LOC-0005,100000000.0,0.0,100000000.0,18.420680753952364,Critical,1,1,7,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing.",,100000000.0,0.0,100000000.0,Commercial banking,Unknown,,100000000.0,
15,2000-09-01,2000-12-01,RISK-0002,No business line,BL-005,People,CF-002,Anhui,Bengbu,LOC-0013,667366.0,0.0,667366.0,13.411095398467108,Medium,0,1,7,3.0,"Operational risk event: Internal fraud caused by People in No business line located in Anhui, Bengbu.",2000-09-01,667366.0,0.0,667366.0,No business line,Unknown,,667366.0,
16,1997-11-01,1998-11-01,RISK-0002,No business line,BL-005,People,CF-002,Shaanxi,Weinan,LOC-0014,14670000.0,0.0,14670000.0,16.501315218285487,Critical,1,1,7,12.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Weinan.",1997-11-01,14670000.0,0.0,14670000.0,No business line,Unknown,,14670000.0,
17,1997-09-01,2000-10-01,RISK-0001,Commercial banking,BL-003,People,CF-002,Shaanxi,Xi'an,LOC-0001,484440000.0,0.0,484440000.0,19.998504144681363,Critical,1,1,7,37.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an.",1997-09-01,484440000.0,0.0,484440000.0,Commercial banking,Unknown,,484440000.0,
18,1997-03-01,2000-11-01,RISK-0002,No business line,BL-005,People,CF-002,Shaanxi,Weinan,LOC-0014,11760000.0,0.0,11760000.0,16.280214585468766,Critical,1,1,7,44.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Weinan.",1997-03-01,11760000.0,0.0,11760000.0,No business line,Unknown,,11760000.0,
19,1998-12-01,2002-05-01,RISK-0002,No business line,BL-005,People,CF-002,Guangdong,Shenzhen,LOC-0003,38600000.0,0.0,38600000.0,17.468762860341794,Critical,1,1,8,41.0,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shenzhen.",1998-12-01,38600000.0,0.0,38600000.0,No business line,Unknown,,38600000.0,
20,2000-10-01,2001-01-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Shandong,Jinan,LOC-0015,89500000.0,0.0,89500000.0,18.309749194418266,Critical,1,1,8,3.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Shandong, Jinan.",2000-10-01,89500000.0,0.0,89500000.0,Payment and settlement,Unknown,,89500000.0,
21,1999-04-01,2000-09-01,RISK-0002,No business line,BL-005,People,CF-002,Shanghai,Shanghai,LOC-0016,13329000.0,0.0,13329000.0,16.405452745610535,Critical,1,1,8,17.0,"Operational risk event: Internal fraud caused by People in No business line located in Shanghai, Shanghai.",1999-04-01,13329000.0,0.0,13329000.0,No business line,Unknown,,13329000.0,
22,1998-10-01,2000-09-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Guangdong,Heyuan,LOC-0017,280000000.0,0.0,280000000.0,19.450300164704952,Critical,1,2,4,23.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Heyuan.",1998-10-01,280000000.0,0.0,280000000.0,Payment and settlement,Unknown,,280000000.0,
23,2000-01-01,2000-09-01,RISK-0005,Retail banking,BL-007,People,CF-002,Henan,Zhengzhou,LOC-0018,385000.0,0.0,385000.0,12.861001210669146,Medium,0,1,5,8.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhengzhou.",2000-01-01,385000.0,0.0,385000.0,Retail banking,Unknown,,385000.0,
24,2000-08-01,2000-08-01,RISK-0005,Retail banking,BL-007,People,CF-002,Shandong,,LOC-0019,190000.0,0.0,190000.0,12.154784614286667,Medium,0,1,5,0.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Shandong, Unknown city.",2000-08-01,190000.0,0.0,190000.0,Retail banking,Unknown,,190000.0,
25,1996-08-01,,RISK-0005,Retail banking,BL-007,People,CF-002,Anhui,,LOC-0020,800000.0,0.0,800000.0,13.592368256649284,Medium,0,1,153,,"Operational risk event: Internal fraud caused by People in Retail banking located in Anhui, Unknown city.",1996-08-01,800000.0,0.0,800000.0,Retail banking,Unknown,,800000.0,
26,2000-01-01,2000-01-01,RISK-0005,Retail banking,BL-007,People,CF-002,Yunnan,Dehong,LOC-0021,825300.0,0.0,825300.0,13.623503447260642,Medium,0,1,5,0.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Dehong.",2000-01-01,825300.0,0.0,825300.0,Retail banking,Unknown,,825300.0,
27,2000-06-01,2000-06-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Chongqing,Chongqing,LOC-0006,3690000.0,0.0,3690000.0,15.121137287019383,High,0,1,5,0.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Chongqing, Chongqing.",2000-06-01,3690000.0,0.0,3690000.0,Payment and settlement,Unknown,,3690000.0,
28,1988-06-01,1995-07-01,RISK-0002,No business line,BL-005,People,CF-002,Fujian,Nanping,LOC-0022,2862799.9999999995,0.0,2862799.9999999995,14.867311074154888,High,0,1,5,85.0,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Nanping.",1988-06-01,2862799.9999999995,0.0,2862799.9999999995,No business line,Unknown,,2862799.9999999995,
29,1995-11-01,1999-03-01,RISK-0002,No business line,BL-005,People,CF-002,Shaanxi,Yan'an,LOC-0023,2399000.0,0.0,2399000.0,14.690562958662095,High,0,1,5,40.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Yan'an.",1995-11-01,2399000.0,0.0,2399000.0,No business line,Unknown,,2399000.0,
30,1999-04-01,2000-04-01,RISK-0002,No business line,BL-005,People,CF-002,Henan,Anyang,LOC-0024,110000.0,0.0,110000.0,11.608244735642321,Medium,0,1,5,12.0,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Anyang.",1999-04-01,110000.0,0.0,110000.0,No business line,Unknown,,110000.0,
31,,2000-03-01,RISK-0002,No business line,BL-005,People,CF-002,Yunnan,Kunming,LOC-0025,4078000.0,0.0,4078000.0,15.221117475334752,High,0,1,5,,"Operational risk event: Internal fraud caused by People in No business line located in Yunnan, Kunming.",,4078000.0,0.0,4078000.0,No business line,Unknown,,4078000.0,
32,2000-07-01,2000-12-01,RISK-0006,Payment and settlement,BL-006,People,CF-002,Inner mongolia,Baotou,LOC-0026,12000000.0,0.0,12000000.0,16.300417291085605,Critical,1,1,5,5.0,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Inner mongolia, Baotou.",2000-07-01,12000000.0,0.0,12000000.0,Payment and settlement,Unknown,,12000000.0,
33,1998-02-01,2000-01-01,RISK-0002,No business line,BL-005,People,CF-002,Sichuan,Yibin,LOC-0027,30650000.0,0.0,30650000.0,17.23814325297292,Critical,1,1,5,23.0,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Yibin.",1998-02-01,30650000.0,0.0,30650000.0,No business line,Unknown,,30650000.0,
34,1999-05-01,2000-07-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Gansu,Jiayuguan,LOC-0028,44400000.0,0.0,44400000.0,17.608750049924975,Critical,1,1,5,14.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Gansu, Jiayuguan.",1999-05-01,44400000.0,0.0,44400000.0,Payment and settlement,Unknown,,44400000.0,
35,1997-11-01,2000-03-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Inner mongolia,Ulanqab,LOC-0029,518000000.0,0.0,518000000.0,20.06548580215426,Critical,1,1,5,28.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Ulanqab.",1997-11-01,518000000.0,0.0,518000000.0,Payment and settlement,Unknown,,518000000.0,
36,1996-09-01,2000-05-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Inner mongolia,Hohhot,LOC-0030,370950000.0,0.0,370950000.0,19.73157784329559,Critical,1,1,5,44.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Hohhot.",1996-09-01,370950000.0,0.0,370950000.0,Payment and settlement,Unknown,,370950000.0,
37,,,RISK-0005,Retail banking,BL-007,People,CF-002,Henan,Zhoukou,LOC-0031,100000.0,0.0,100000.0,11.51293546492023,Medium,0,1,5,,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhoukou.",,100000.0,0.0,100000.0,Retail banking,Unknown,,100000.0,
38,2000-04-01,,RISK-0001,Commercial banking,BL-003,People,CF-002,Hainan,Sanya,LOC-0032,4500000.0,0.0,4500000.0,15.319588176962746,High,0,1,5,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Hainan, Sanya.",2000-04-01,4500000.0,0.0,4500000.0,Commercial banking,Unknown,,4500000.0,
39,1994-06-01,,RISK-0001,Commercial banking,BL-003,People,CF-002,Sichuan,Chengdu,LOC-0033,50000000.0,0.0,50000000.0,17.72753358339242,Critical,1,2,5,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Sichuan, Chengdu.",1994-06-01,50000000.0,0.0,50000000.0,Commercial banking,Unknown,,50000000.0,
40,2000-05-01,2000-10-01,RISK-0003,Payment and settlement,BL-006,People,CF-002,Inner mongolia,Baotou,LOC-0026,9000000.0,0.0,9000000.0,16.012735246411598,High,0,3,4,5.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Baotou.",2000-05-01,9000000.0,0.0,9000000.0,Payment and settlement,Unknown,,9000000.0,
41,1999-05-01,2000-08-01,RISK-0002,No business line,BL-005,People,CF-002,Shaanxi,Xi'an,LOC-0001,7590000.0,0.0,7590000.0,15.84234228112411,High,0,1,6,15.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Xi'an.",1999-05-01,7590000.0,0.0,7590000.0,No business line,Unknown,,7590000.0,
