event_id,risk_id,business_unit_id,event_date_key,due_date_key,gross_loss,recovery_amount,net_loss,impact_level,probability_score,expected_loss,mitigation_status,description
1,RISK-0001,3.0,19990801,,102000000.0,0.0,102000000.0,Critical,,102000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an."
2,RISK-0002,5.0,19981201,,4200000.0,0.0,4200000.0,Critical,,4200000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Dongguan."
3,RISK-0003,6.0,19970701,,3320000.0,0.0,3320000.0,Critical,,3320000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Shenzhen."
4,RISK-0003,6.0,20000201,,21020000.0,0.0,21020000.0,Critical,,21020000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Tianjin, Unknown city."
5,RISK-0002,5.0,19950201,,15800000.0,0.0,15800000.0,Critical,,15800000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing."
6,RISK-0001,3.0,19950501,,48430000.0,0.0,48430000.0,Critical,,48430000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Chongqing, Chongqing."
7,RISK-0001,3.0,20000301,,56000000.0,0.0,56000000.0,Critical,,56000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
8,RISK-0002,5.0,19980201,,3710000.0,0.0,3710000.0,Critical,,3710000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Ningxia, Wuzhong."
9,RISK-0002,5.0,,,140000000.0,0.0,140000000.0,Critical,,140000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Unknown city."
10,RISK-0003,6.0,20000901,,49000000.0,0.0,49000000.0,Critical,,49000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Daqing."
11,RISK-0004,7.0,20001101,,17000.0,0.0,17000.0,Low,,17000.0,Unknown,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Beijing, Beijing."
12,RISK-0005,7.0,20000301,,666500.0,0.0,666500.0,High,,666500.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Chuxiong."
13,RISK-0005,7.0,,,1960572.0,0.0,1960572.0,Critical,,1960572.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Kaifeng."
14,RISK-0001,3.0,,,100000000.0,0.0,100000000.0,Critical,,100000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
15,RISK-0002,5.0,20000901,,667366.0,0.0,667366.0,High,,667366.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Anhui, Bengbu."
16,RISK-0002,5.0,19971101,,14670000.0,0.0,14670000.0,Critical,,14670000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Weinan."
17,RISK-0001,3.0,19970901,,484440000.0,0.0,484440000.0,Critical,,484440000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an."
18,RISK-0002,5.0,19970301,,11760000.0,0.0,11760000.0,Critical,,11760000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Weinan."
19,RISK-0002,5.0,19981201,,38600000.0,0.0,38600000.0,Critical,,38600000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shenzhen."
20,RISK-0003,6.0,20001001,,89500000.0,0.0,89500000.0,Critical,,89500000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Shandong, Jinan."
21,RISK-0002,5.0,19990401,,13329000.0,0.0,13329000.0,Critical,,13329000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shanghai, Shanghai."
22,RISK-0003,6.0,19981001,,280000000.0,0.0,280000000.0,Critical,,280000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Heyuan."
23,RISK-0005,7.0,20000101,,385000.0,0.0,385000.0,High,,385000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhengzhou."
24,RISK-0005,7.0,20000801,,190000.0,0.0,190000.0,Medium,,190000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Shandong, Unknown city."
25,RISK-0005,7.0,19960801,,800000.0,0.0,800000.0,High,,800000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Anhui, Unknown city."
26,RISK-0005,7.0,20000101,,825300.0,0.0,825300.0,High,,825300.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Dehong."
27,RISK-0003,6.0,20000601,,3690000.0,0.0,3690000.0,Critical,,3690000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Chongqing, Chongqing."
28,RISK-0002,5.0,19880601,,2862799.9999999995,0.0,2862799.9999999995,Critical,,2862799.9999999995,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Nanping."
29,RISK-0002,5.0,19951101,,2399000.0,0.0,2399000.0,Critical,,2399000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Yan'an."
30,RISK-0002,5.0,19990401,,110000.0,0.0,110000.0,Medium,,110000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Anyang."
31,RISK-0002,5.0,,,4078000.0,0.0,4078000.0,Critical,,4078000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Yunnan, Kunming."
32,RISK-0006,6.0,20000701,,12000000.0,0.0,12000000.0,Critical,,12000000.0,Unknown,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Inner mongolia, Baotou."
33,RISK-0002,5.0,19980201,,30650000.0,0.0,30650000.0,Critical,,30650000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Yibin."
34,RISK-0003,6.0,19990501,,44400000.0,0.0,44400000.0,Critical,,44400000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Gansu, Jiayuguan."
35,RISK-0003,6.0,19971101,,518000000.0,0.0,518000000.0,Critical,,518000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Ulanqab."
36,RISK-0003,6.0,19960901,,370950000.0,0.0,370950000.0,Critical,,370950000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Hohhot."
37,RISK-0005,7.0,,,100000.0,0.0,100000.0,Medium,,100000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhoukou."
38,RISK-0001,3.0,20000401,,4500000.0,0.0,4500000.0,Critical,,4500000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Hainan, Sanya."
39,RISK-0001,3.0,19940601,,50000000.0,0.0,50000000.0,Critical,,50000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Sichuan, Chengdu."
40,RISK-0003,6.0,20000501,,9000000.0,0.0,9000000.0,Critical,,9000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Baotou."
41,RISK-0002,5.0,19990501,,7590000.0,0.0,7590000.0,Critical,,7590000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Xi'an."
42,RISK-0002,5.0,19960301,,14395000.0,0.0,14395000.0,Critical,,14395000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Xuchang."
43,RISK-0001,3.0,19991001,,56000000.0,0.0,56000000.0,Critical,,56000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
44,RISK-0005,7.0,19941101,,303487.0,0.0,303487.0,High,,303487.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Beijing, Unknown city."
45,RISK-0003,6.0,20000101,,9000000.0,0.0,9000000.0,Critical,,9000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Hohhot."
46,RISK-0001,3.0,19991101,,27000000.0,0.0,27000000.0,Critical,,27000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jilin, Changchun."
47,RISK-0003,6.0,20000201,,30000000.0,0.0,30000000.0,Critical,,30000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Beijing, Beijing."
48,RISK-0001,3.0,19970901,,69600000.0,0.0,69600000.0,Critical,,69600000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
49,RISK-0002,5.0,,,202300000.0,0.0,202300000.0,Critical,,202300000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing."
50,RISK-0001,3.0,,,3569000.0,0.0,3569000.0,Critical,,3569000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
51,RISK-0003,6.0,20001201,,5000000.0,0.0,5000000.0,Critical,,5000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Tianjin, Tianjin."
52,RISK-0001,3.0,19990701,,10000000.0,0.0,10000000.0,Critical,,10000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
53,RISK-0002,5.0,20001001,,5000000.0,0.0,5000000.0,Critical,,5000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Shanxi, Unknown city."
54,RISK-0002,5.0,19970101,,5000000.0,0.0,5000000.0,Critical,,5000000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou."
55,RISK-0002,5.0,20000301,,2400000.0,0.0,2400000.0,Critical,,2400000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou."
56,RISK-0003,6.0,20000601,,14100000.0,0.0,14100000.0,Critical,,14100000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Fujian, Fuzhou."
57,RISK-0003,6.0,19990501,,200000000.0,0.0,200000000.0,Critical,,200000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Harbin."
58,RISK-0001,3.0,19980401,,3000000.0,0.0,3000000.0,Critical,,3000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jiangsu, Nanjing."
59,RISK-0005,7.0,20001001,,360000.0,0.0,360000.0,High,,360000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Hainan, Unknown city."
60,RISK-0005,7.0,,,70000.0,0.0,70000.0,Medium,,70000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Anhui, Bozhou."
61,RISK-0002,5.0,19970301,,12410000.0,0.0,12410000.0,Critical,,12410000.0,Unknown,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing."
62,RISK-0005,7.0,19930701,,980000.0,0.0,980000.0,High,,980000.0,Unknown,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Guangzhou."
63,RISK-0001,3.0,20001201,,1400000.0,0.0,1400000.0,Critical,,1400000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shandong, Yantai."
64,RISK-0007,4.0,20000201,,5000000.0,0.0,5000000.0,Critical,,5000000.0,Unknown,"Operational risk event: Internal fraud caused by People in Corporate finance located in Beijing, Beijing."
65,RISK-0001,3.0,,,1490985000.0,0.0,1490985000.0,Critical,,1490985000.0,Unknown,"Operational risk event: Internal fraud caused by People in Commercial banking located in Sichuan, Dazhou."
