risk_id,risk_event_type,risk_category,risk_business_line,risk_description,risk_owner
RISK-0001,Internal fraud,People,Commercial banking,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an.",Unknown
RISK-0002,Internal fraud,People,No business line,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Dongguan.",Unknown
RISK-0003,Internal fraud,People,Payment and settlement,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Shenzhen.",Unknown
RISK-0004,"Clients, products & business practices",People,Retail banking,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Beijing, Beijing.",Unknown
RISK-0005,Internal fraud,People,Retail banking,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Chuxiong.",Unknown
RISK-0006,"Execution, delivery & process management",People,Payment and settlement,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Inner mongolia, Baotou.",Unknown
RISK-0007,Internal fraud,People,Corporate finance,"Operational risk event: Internal fraud caused by People in Corporate finance located in Beijing, Beijing.",Unknown
RISK-0008,Internal fraud,People,Trading & sales,"Operational risk event: Internal fraud caused by People in Trading & sales located in Guangdong, Guangzhou.",Unknown
RISK-0009,"Execution, delivery & process management",People,Retail banking,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Henan, Nanyang.",Unknown
RISK-0010,External fraud,People,Commercial banking,"Operational risk event: External fraud caused by People in Commercial banking located in Beijing, Beijing.",Unknown
RISK-0011,"Clients, products & business practices",People,Asset management,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Shanghai, Shanghai.",Unknown
RISK-0012,"Clients, products & business practices",People,No business line,"Operational risk event: Clients, products & business practices caused by People in No business line located in Shanghai, Shanghai.",Unknown
RISK-0013,"Execution, delivery & process management",Process,Retail banking,"Operational risk event: Execution, delivery & process management caused by Process in Retail banking located in Guangxi, Nanning.",Unknown
RISK-0014,"Execution, delivery & process management",Process,Payment and settlement,"Operational risk event: Execution, delivery & process management caused by Process in Payment and settlement located in Hubei, Wuhan.",Unknown
RISK-0015,"Clients, products & business practices",Process,Retail banking,"Operational risk event: Clients, products & business practices caused by Process in Retail banking located in Guangdong, Meizhou.",Unknown
RISK-0016,"Clients, products & business practices",Process,Commercial banking,"Operational risk event: Clients, products & business practices caused by Process in Commercial banking located in Chongqing, Chongqing.",Unknown
RISK-0017,"Clients, products & business practices",Process,No business line,"Operational risk event: Clients, products & business practices caused by Process in No business line located in Beijing, Beijing.",Unknown
RISK-0018,"Execution, delivery & process management",Process,Commercial banking,"Operational risk event: Execution, delivery & process management caused by Process in Commercial banking located in Beijing, Beijing.",Unknown
RISK-0019,Business disruption and system failures,System,Retail banking,"Operational risk event: Business disruption and system failures caused by System in Retail banking located in Zhejiang, Ningbo.",Unknown
RISK-0020,External fraud,System,Retail banking,"Operational risk event: External fraud caused by System in Retail banking located in Guangdong, Guangzhou.",Unknown
RISK-0021,Business disruption and system failures,System,No business line,"Operational risk event: Business disruption and system failures caused by System in No business line located in Jiangsu, Wuxi.",Unknown
RISK-0022,"Execution, delivery & process management",System,Retail banking,"Operational risk event: Execution, delivery & process management caused by System in Retail banking located in Shanghai, Shanghai.",Unknown
RISK-0023,External fraud,External event,Commercial banking,"Operational risk event: External fraud caused by External event in Commercial banking located in Henan, Zhengzhou.",Unknown
RISK-0024,External fraud,External event,Payment and settlement,"Operational risk event: External fraud caused by External event in Payment and settlement located in Sichuan, Zigong.",Unknown
RISK-0025,External fraud,External event,Retail banking,"Operational risk event: External fraud caused by External event in Retail banking located in Beijing, Beijing.",Unknown
RISK-0026,Damage to physical assets,External event,No business line,"Operational risk event: Damage to physical assets caused by External event in No business line located in Guangdong, Huizhou.",Unknown
RISK-0027,Damage to physical assets,External event,Retail banking,"Operational risk event: Damage to physical assets caused by External event in Retail banking located in Shanghai, Shanghai.",Unknown
RISK-0028,Employment practices and workplace safety,External event,Retail banking,"Operational risk event: Employment practices and workplace safety caused by External event in Retail banking located in Yunnan, Kunming.",Unknown
RISK-0029,"Execution, delivery & process management",People,Commercial banking,"Operational risk event: Execution, delivery & process management caused by People in Commercial banking located in Shanghai, Shanghai.",Unknown
RISK-0030,"Execution, delivery & process management",People,Agency services,"Operational risk event: Execution, delivery & process management caused by People in Agency services located in Hebei, Shijiazhuang.",Unknown
RISK-0031,Internal fraud,People,Asset management,"Operational risk event: Internal fraud caused by People in Asset management located in Hunan, Xiangxi.",Unknown
RISK-0032,Internal fraud,People,Agency services,"Operational risk event: Internal fraud caused by People in Agency services located in Guizhou, Zunyi.",Unknown
RISK-0033,External fraud,People,Payment and settlement,"Operational risk event: External fraud caused by People in Payment and settlement located in Liaoning, Shenyang.",Unknown
RISK-0034,Employment practices and workplace safety,Process,No business line,"Operational risk event: Employment practices and workplace safety caused by Process in No business line located in Hubei, Jingmen.",Unknown
RISK-0035,"Execution, delivery & process management",Process,Trading & sales,"Operational risk event: Execution, delivery & process management caused by Process in Trading & sales located in Henan, Unknown city.",Unknown
RISK-0036,Internal fraud,Process,Payment and settlement,"Operational risk event: Internal fraud caused by Process in Payment and settlement located in Beijing, Unknown city.",Unknown
RISK-0037,"Execution, delivery & process management",Process,Agency services,"Operational risk event: Execution, delivery & process management caused by Process in Agency services located in Shanghai, Shanghai.",Unknown
RISK-0038,"Clients, products & business practices",System,Retail banking,"Operational risk event: Clients, products & business practices caused by System in Retail banking located in Tianjin, Tianjin.",Unknown
RISK-0039,Employment practices and workplace safety,System,No business line,"Operational risk event: Employment practices and workplace safety caused by System in No business line located in Liaoning, Dandong.",Unknown
RISK-0040,"Clients, products & business practices",External event,Retail banking,"Operational risk event: Clients, products & business practices caused by External event in Retail banking located in Shanghai, Shanghai.",Unknown
RISK-0041,"Execution, delivery & process management",External event,Retail banking,"Operational risk event: Execution, delivery & process management caused by External event in Retail banking located in Shanghai, Shanghai.",Unknown
RISK-0042,"Execution, delivery & process management",External event,Commercial banking,"Operational risk event: Execution, delivery & process management caused by External event in Commercial banking located in Beijing, Beijing.",Unknown
RISK-0043,External fraud,External event,Asset management,"Operational risk event: External fraud caused by External event in Asset management located in Liaoning, Huludao.",Unknown
